sample_ID,analyte,result_date,result,k,units,det_lvl
239590,asphodel,2021-12-14,0.01001,2,blatt,0.0118
239606,asphodel,2022-01-08,0,2,blatt,0.01037
239626,asphodel,2021-12-29,0.0107,2,blatt,0.009951
239745,asphodel,2021-12-28,0.01208,2,blatt,0.009301
239827,asphodel,2022-01-05,0.00264,2,blatt,0.01121
241354,asphodel,2022-01-30,0.01218,2,blatt,0.0104
241399,asphodel,2022-01-21,0.01272,2,blatt,0.01063
241552,asphodel,2022-01-24,0.0109,2,blatt,0.01101
241617,asphodel,2022-01-25,0.01282,2,blatt,0.01051
241641,asphodel,2022-01-15,0.01306,2,blatt,0.009853
241675,asphodel,2022-01-25,0,2,blatt,0.01046
241704,asphodel,2022-01-24,0.01318,2,blatt,0.0101
241863,asphodel,2022-01-25,0,2,blatt,0.009225
241937,asphodel,2022-02-11,0.01239,2,blatt,0.01029
241981,asphodel,2022-01-28,0,2,blatt,0.01065
241995,asphodel,2022-03-11,0.01412,2,blatt,0.009874
242031,asphodel,2022-02-03,0,2,blatt,0.008921
242080,asphodel,2022-02-01,0,2,blatt,0.01025
242098,asphodel,2022-02-20,0.01287,2,blatt,0.009996
242324,asphodel,2022-01-17,0,2,blatt,0.007243
242370,asphodel,2022-02-01,0,2,blatt,0.01044
242399,asphodel,2022-02-10,0.01093,2,blatt,0.009939
242410,asphodel,2022-01-22,0.01177,2,blatt,0.008415
242486,asphodel,2022-01-22,0.01155,2,blatt,0.009065
242535,asphodel,2022-02-28,0.01045,2,blatt,0.01213
242611,asphodel,2022-02-07,0,2,blatt,0.0103
242746,asphodel,2022-01-25,0.01179,2,blatt,0.01089
242795,asphodel,2022-03-26,0.0124,2,blatt,0.01178
242804,asphodel,2022-02-19,0,2,blatt,0.01041
242812,asphodel,2022-03-03,0,2,blatt,0.008531
242901,asphodel,2022-03-01,0.01137,2,blatt,0.01151
242925,asphodel,2022-03-09,0.01207,2,blatt,0.01015
243053,asphodel,2022-03-03,0,2,blatt,0.006368
243519,asphodel,2022-02-26,0,2,blatt,0.009963
235824,Sr-89,2021-11-16,0,2,pCi/L,1.452
236267,Sr-89,2021-11-08,0,2,pCi/L,1.615
236268,Sr-89,2021-11-21,0,2,pCi/L,1.487
236419,Sr-89,2021-11-10,0,2,pCi/L,1.476
236443,Sr-89,2021-11-18,0,2,pCi/L,1.571
236483,Sr-89,2021-11-03,0,2,pCi/L,1.487
236484,Sr-89,2021-11-15,0,2,pCi/L,1.496
236540,Sr-89,2021-11-20,0,2,pCi/L,1.457
236541,Sr-89,2021-11-24,0,2,pCi/L,1.456
236730,Sr-89,2021-11-23,0,2,pCi/L,1.523
236731,Sr-89,2021-12-17,0,2,pCi/L,1.55
236786,Sr-89,2021-11-08,0,2,pCi/L,1.525
236787,Sr-89,2021-11-07,0,2,pCi/L,1.532
236871,Sr-89,2021-11-18,0,2,pCi/L,1.439
236908,Sr-89,2021-12-04,0,2,pCi/L,1.475
236909,Sr-89,2021-11-16,0,2,pCi/L,1.479
237192,Sr-89,2021-11-20,0,2,pCi/L,1.55
237528,Sr-89,2021-11-17,0,2,pCi/L,1.547
237529,Sr-89,2021-12-18,0,2,pCi/L,1.589
237792,Sr-89,2021-12-15,0,2,pCi/L,1.486
237830,Sr-89,2022-01-17,0,2,pCi/L,1.561
237888,Sr-89,2021-12-03,0,2,pCi/L,1.525
237889,Sr-89,2021-11-24,0,2,pCi/L,1.43
238078,Sr-89,2021-12-25,0,2,pCi/L,1.485
238110,Sr-89,2021-11-30,0,2,pCi/L,1.405
238172,Sr-89,2021-12-04,0,2,pCi/L,1.601
238254,Sr-89,2021-11-29,0,2,pCi/L,1.441
238278,Sr-89,2021-12-16,0,2,pCi/L,1.492
238282,Sr-89,2021-12-28,0,2,pCi/L,1.431
238430,Sr-89,2021-12-14,0,2,pCi/L,1.492
238649,Sr-89,2022-01-16,0,2,pCi/L,1.518
238757,Sr-89,2022-01-25,0,2,pCi/L,1.431
238831,Sr-89,2022-01-08,0,2,pCi/L,1.463
238858,Sr-89,2022-01-28,0,2,pCi/L,1.465
238909,Sr-89,2022-02-12,0,2,pCi/L,1.487
239112,Sr-89,2021-12-30,0,2,pCi/L,1.464
239541,Sr-89,2021-12-30,0,2,pCi/L,1.491
239542,Sr-89,2022-01-24,3.37,2,pCi/L,1.565
239542,Sr-89,2021-12-20,2.61,2,pCi/L,1.485
239543,Sr-89,2022-01-02,2.63,2,pCi/L,1.459
239543,Sr-89,2021-12-17,3.38,2,pCi/L,1.476
239544,Sr-89,2022-02-06,2.8,2,pCi/L,1.487
239544,Sr-89,2021-12-11,2.61,2,pCi/L,1.472
239549,Sr-89,2022-02-04,2.55,2,pCi/L,1.561
239590,Sr-89,2021-12-30,2.8,2,pCi/L,1.553
239590,Sr-89,2021-12-25,2.78,2,pCi/L,1.468
239606,Sr-89,2022-01-11,2.97,2,pCi/L,1.542
239626,Sr-89,2022-01-20,3.04,2,pCi/L,1.412
239745,Sr-89,2021-12-28,0,2,pCi/L,1.488
239827,Sr-89,2022-01-05,0,2,pCi/L,1.423
241354,Sr-89,2022-01-23,3.11,2,pCi/L,1.573
241354,Sr-89,2022-01-10,2.74,2,pCi/L,1.462
241399,Sr-89,2022-02-13,3.01,2,pCi/L,1.525
241399,Sr-89,2022-01-24,3.13,2,pCi/L,1.506
241399,Sr-89,2022-02-20,3.22,2,pCi/L,1.584
241552,Sr-89,2022-01-14,2.93,2,pCi/L,1.494
241617,Sr-89,2022-01-26,0,2,pCi/L,1.439
241641,Sr-89,2022-01-15,0,2,pCi/L,1.523
241675,Sr-89,2022-01-25,2.82,2,pCi/L,1.523
241704,Sr-89,2022-01-29,2.78,2,pCi/L,1.511
241863,Sr-89,2022-01-25,3.25,2,pCi/L,1.527
241863,Sr-89,2022-01-16,2.82,2,pCi/L,1.502
241863,Sr-89,2022-02-05,3.22,2,pCi/L,1.538
241937,Sr-89,2022-02-11,0,2,pCi/L,1.486
241981,Sr-89,2022-02-04,3.2,2,pCi/L,1.475
241981,Sr-89,2022-02-02,2.48,2,pCi/L,1.568
241981,Sr-89,2022-01-19,2.87,2,pCi/L,1.517
241995,Sr-89,2022-02-05,2.71,2,pCi/L,1.472
241995,Sr-89,2022-01-31,3.15,2,pCi/L,1.47
241995,Sr-89,2022-02-02,2.77,2,pCi/L,1.409
241995,Sr-89,2022-01-27,2.99,2,pCi/L,1.451
242031,Sr-89,2022-02-11,2.59,2,pCi/L,1.536
242031,Sr-89,2022-02-11,2.94,2,pCi/L,1.51
242031,Sr-89,2022-02-19,3.23,2,pCi/L,1.518
242080,Sr-89,2022-02-01,2.78,2,pCi/L,1.445
242080,Sr-89,2022-02-08,3.3,2,pCi/L,1.418
242098,Sr-89,2022-01-27,3.28,2,pCi/L,1.636
242324,Sr-89,2022-01-17,0,2,pCi/L,1.575
242370,Sr-89,2022-02-01,2.64,2,pCi/L,1.449
242370,Sr-89,2022-01-31,3.41,2,pCi/L,1.443
242370,Sr-89,2022-02-04,3.12,2,pCi/L,1.54
242399,Sr-89,2022-03-03,3.33,2,pCi/L,1.507
242399,Sr-89,2022-02-06,3.22,2,pCi/L,1.308
242399,Sr-89,2022-02-11,3.15,2,pCi/L,1.535
242410,Sr-89,2022-01-22,0,2,pCi/L,1.475
242486,Sr-89,2022-01-22,0,2,pCi/L,1.453
242535,Sr-89,2022-01-22,3.1,2,pCi/L,1.246
242535,Sr-89,2022-01-20,2.56,2,pCi/L,1.49
242535,Sr-89,2022-03-14,3.22,2,pCi/L,1.495
242611,Sr-89,2022-02-07,2.3,2,pCi/L,1.544
242746,Sr-89,2022-01-26,2.97,2,pCi/L,1.456
242746,Sr-89,2022-01-27,3.05,2,pCi/L,1.5
242795,Sr-89,2022-03-26,0,2,pCi/L,1.599
242804,Sr-89,2022-01-27,2.58,2,pCi/L,1.31
242804,Sr-89,2022-02-28,2.7,2,pCi/L,1.501
242812,Sr-89,2022-03-03,3.08,2,pCi/L,1.314
242812,Sr-89,2022-02-20,2.97,2,pCi/L,1.551
242901,Sr-89,2022-03-04,3.12,2,pCi/L,1.556
242901,Sr-89,2022-02-26,3.39,2,pCi/L,1.542
242925,Sr-89,2022-02-19,0,2,pCi/L,1.4
243053,Sr-89,2022-03-03,3.14,2,pCi/L,1.442
243519,Sr-89,2022-02-26,3.94,2,pCi/L,1.534
235824,unknownium,2021-11-16,0,2,ppm,0.5
236267,unknownium,2021-11-08,1.07,2,ppm,0.47
236268,unknownium,2021-11-21,0,2,ppm,0.53
236419,unknownium,2021-11-10,0.88,2,ppm,0.55
236443,unknownium,2021-11-18,1.29,2,ppm,0.51
236483,unknownium,2021-11-03,0.88,2,ppm,0.52
236484,unknownium,2021-11-22,0.97,2,ppm,0.49
236540,unknownium,2021-11-20,0.91,2,ppm,0.53
236541,unknownium,2021-11-24,1.39,2,ppm,0.44
236730,unknownium,2021-11-23,1.07,2,ppm,0.54
236731,unknownium,2021-12-17,0.94,2,ppm,0.58
236786,unknownium,2021-11-08,0,2,ppm,0.47
236787,unknownium,2021-11-16,1.02,2,ppm,0.53
236871,unknownium,2021-11-18,1.09,2,ppm,0.44
236908,unknownium,2021-12-04,0,2,ppm,0.5
236909,unknownium,2021-11-16,0.94,2,ppm,0.49
237192,unknownium,2021-11-20,0,2,ppm,0.54
237528,unknownium,2021-11-17,1.07,2,ppm,0.52
237529,unknownium,2021-12-18,0.89,2,ppm,0.54
237792,unknownium,2021-12-15,1.14,2,ppm,0.53
237830,unknownium,2022-01-17,0.88,2,ppm,0.55
237888,unknownium,2021-12-03,0.86,2,ppm,0.5
237889,unknownium,2021-11-24,1.09,2,ppm,0.51
238078,unknownium,2021-12-25,1.07,2,ppm,0.5
238110,unknownium,2022-01-09,1.07,2,ppm,0.52
238172,unknownium,2021-12-04,0.98,2,ppm,0.52
238254,unknownium,2021-11-29,0,2,ppm,0.53
238278,unknownium,2021-12-16,0,2,ppm,0.4
238282,unknownium,2021-12-28,1.07,2,ppm,0.49
238430,unknownium,2021-12-06,1.17,2,ppm,0.5
238649,unknownium,2021-12-08,1.19,2,ppm,0.48
238757,unknownium,2022-01-25,0,2,ppm,0.46
238831,unknownium,2022-01-08,0,2,ppm,0.49
238858,unknownium,2021-12-03,0.89,2,ppm,0.56
238909,unknownium,2022-02-12,0,2,ppm,0.49
239112,unknownium,2021-12-30,0,2,ppm,0.52
239541,unknownium,2021-12-30,0.9,2,ppm,0.47
239542,unknownium,2021-12-28,0,2,ppm,0.47
239543,unknownium,2022-01-02,0,2,ppm,0.47
239544,unknownium,2021-12-18,1.01,2,ppm,0.52
239549,unknownium,2022-02-04,0,2,ppm,0.55
239590,unknownium,2021-12-30,0,2,ppm,0.57
239606,unknownium,2022-01-08,1.12,2,ppm,0.48
239626,unknownium,2022-01-07,1.11,2,ppm,0.47
239745,unknownium,2021-12-28,0,2,ppm,0.54
239827,unknownium,2022-01-05,0.87,2,ppm,0.51
241354,unknownium,2022-01-30,0,2,ppm,0.49
241399,unknownium,2022-01-21,0.88,2,ppm,0.45
241552,unknownium,2022-01-24,1.06,2,ppm,0.51
241617,unknownium,2022-01-26,1.17,2,ppm,0.5
241641,unknownium,2022-01-17,1.22,2,ppm,0.52
241675,unknownium,2022-01-25,1.09,2,ppm,0.52
241704,unknownium,2022-01-29,0.88,2,ppm,0.53
241863,unknownium,2022-01-25,0,2,ppm,0.4
241937,unknownium,2022-02-11,0,2,ppm,0.49
241981,unknownium,2022-01-28,1.04,2,ppm,0.5
241995,unknownium,2022-02-03,1.21,2,ppm,0.48
242031,unknownium,2022-01-22,1.19,2,ppm,0.46
242080,unknownium,2022-02-01,0,2,ppm,0.49
242098,unknownium,2022-01-27,0,2,ppm,0.56
242324,unknownium,2022-01-17,1.3,2,ppm,0.49
242370,unknownium,2022-02-12,0.98,2,ppm,0.52
242399,unknownium,2022-03-03,0,2,ppm,0.47
242410,unknownium,2022-01-22,0,2,ppm,0.47
242486,unknownium,2022-01-22,0,2,ppm,0.47
242535,unknownium,2022-01-22,0,2,ppm,0.52
242611,unknownium,2022-02-07,0.85,2,ppm,0.55
242746,unknownium,2022-01-26,0,2,ppm,0.57
242795,unknownium,2022-03-26,0,2,ppm,0.48
242804,unknownium,2022-02-09,1.01,2,ppm,0.47
242812,unknownium,2022-03-03,0,2,ppm,0.54
242901,unknownium,2022-02-05,1,2,ppm,0.51
242925,unknownium,2022-02-19,1.07,2,ppm,0.49
243053,unknownium,2022-03-03,0,2,ppm,0.45
243519,unknownium,2022-02-26,0,2,ppm,0.51
