sample_ID,analyte,spike_value,sv_unc,sv_k,spike_unit,provider_lab,submission_date
239745,asphodel,11.73,0.012,2,mblatt,my_nat_lab,2021-12-08
239827,unknownium,2.5,0.03,2,ppm,my_nat_lab,2021-12-09
241354,asphodel,12.53,0.012,2,mblatt,lighthouse,2021-12-24
241354,Sr-90,3.17,0.0005,2,pCi/L,lighthouse,2021-12-24
241399,asphodel,12.88,0.012,2,mblatt,my_nat_lab,2021-12-25
241399,Sr-90,3.05,0.0005,2,pCi/L,my_nat_lab,2021-12-25
241552,asphodel,10.97,0.012,2,mblatt,acme_analytes,2021-12-26
241552,Sr-90,3.01,0.0005,2,pCi/L,lighthouse,2021-12-26
241552,unknownium,3.07,0.03,2,ppm,my_nat_lab,2021-12-26
241617,asphodel,12.96,0.012,2,mblatt,acme_analytes,2021-12-27
241617,unknownium,3.48,0.03,2,ppm,acme_analytes,2021-12-27
241641,asphodel,13.61,0.012,2,mblatt,acme_analytes,2021-12-28
241641,unknownium,3.22,0.03,2,ppm,lighthouse,2021-12-28
241675,Sr-90,2.86,0.0005,2,pCi/L,my_nat_lab,2021-12-29
241675,unknownium,3.23,0.03,2,ppm,lighthouse,2021-12-29
241704,asphodel,13.2,0.012,2,mblatt,my_nat_lab,2021-12-30
241704,Sr-90,2.87,0.0005,2,pCi/L,lighthouse,2021-12-30
241863,Sr-90,3.29,0.0005,2,pCi/L,my_nat_lab,2021-12-31
241937,asphodel,12.72,0.012,2,mblatt,my_nat_lab,2022-01-01
241981,Sr-90,3.18,0.0005,2,pCi/L,acme_analytes,2022-01-02
241981,unknownium,2.94,0.03,2,ppm,lighthouse,2022-01-02
241995,asphodel,13.68,0.012,2,mblatt,lighthouse,2022-01-03
241995,Sr-90,2.68,0.0005,2,pCi/L,my_nat_lab,2022-01-03
241995,unknownium,3.29,0.03,2,ppm,lighthouse,2022-01-03
242031,Sr-90,3.41,0.0005,2,pCi/L,my_nat_lab,2022-01-04
242031,unknownium,3.36,0.03,2,ppm,lighthouse,2022-01-04
242080,Sr-90,2.74,0.0005,2,pCi/L,acme_analytes,2022-01-05
242098,asphodel,13.49,0.012,2,mblatt,lighthouse,2022-01-06
242098,Sr-90,3.33,0.0005,2,pCi/L,lighthouse,2022-01-06
242324,unknownium,3.68,0.03,2,ppm,lighthouse,2022-01-07
242370,Sr-90,2.66,0.0005,2,pCi/L,lighthouse,2022-01-08
242370,unknownium,2.92,0.03,2,ppm,acme_analytes,2022-01-08
242399,asphodel,11.37,0.012,2,mblatt,my_nat_lab,2022-01-09
242399,Sr-90,3.3,0.0005,2,pCi/L,acme_analytes,2022-01-09
242410,asphodel,12.02,0.012,2,mblatt,my_nat_lab,2022-01-10
242486,asphodel,11.89,0.012,2,mblatt,acme_analytes,2022-01-11
242535,asphodel,10.7,0.012,2,mblatt,acme_analytes,2022-01-12
242535,Sr-90,3.17,0.0005,2,pCi/L,acme_analytes,2022-01-12
242611,Sr-90,2.33,0.0005,2,pCi/L,lighthouse,2022-01-13
242746,asphodel,11.85,0.012,2,mblatt,my_nat_lab,2022-01-13
242746,Sr-90,3.08,0.0005,2,pCi/L,lighthouse,2022-01-13
242747,Sr-90,3.07,0.0005,2,pCi/L,acme_analytes,2022-01-14
242795,asphodel,12.51,0.012,2,mblatt,lighthouse,2022-01-15
242804,asphodel,8.83,0.012,2,mblatt,lighthouse,2022-01-16
242804,Sr-90,2.61,0.0005,2,pCi/L,acme_analytes,2022-01-16
242804,unknownium,2.79,0.03,2,ppm,acme_analytes,2022-01-16
242812,Sr-90,3.13,0.0005,2,pCi/L,lighthouse,2022-01-17
242901,asphodel,11.43,0.012,2,mblatt,acme_analytes,2022-01-18
242901,Sr-90,3.09,0.0005,2,pCi/L,my_nat_lab,2022-01-18
242912,Sr-90,3.34,0.0005,2,pCi/L,lighthouse,2022-01-19
242912,unknownium,2.7,0.03,2,ppm,lighthouse,2022-01-19
242925,asphodel,12.4,0.012,2,mblatt,acme_analytes,2022-01-20
242925,unknownium,3.09,0.03,2,ppm,lighthouse,2022-01-20
243053,Sr-90,3.13,0.0005,2,pCi/L,acme_analytes,2022-01-21
243519,Sr-90,4.07,0.0005,2,pCi/L,acme_analytes,2022-01-22
